Voltage,180C,195C,210C
12.5,1.15E-09,6.68E-10,3.43E-10
12.6,1.14E-09,6.75E-10,3.53E-10
12.7,1.13E-09,6.81E-10,3.57E-10
12.8,1.12E-09,6.85E-10,3.71E-10
12.9,1.10E-09,6.87E-10,3.81E-10
13,1.08E-09,6.92E-10,3.88E-10
13.1,1.06E-09,6.93E-10,3.97E-10
13.2,1.04E-09,6.93E-10,4.07E-10
13.3,1.01E-09,6.94E-10,4.09E-10
13.4,9.95E-10,6.93E-10,4.19E-10
13.5,9.77E-10,6.94E-10,4.24E-10
13.6,9.61E-10,6.86E-10,4.32E-10
13.7,9.50E-10,6.90E-10,4.36E-10
13.8,9.41E-10,6.91E-10,4.37E-10
13.9,9.40E-10,6.89E-10,4.45E-10
14,9.39E-10,6.89E-10,4.52E-10
14.1,9.46E-10,6.91E-10,4.56E-10
14.2,9.59E-10,7.00E-10,4.64E-10
14.3,9.76E-10,7.02E-10,4.69E-10
14.4,1.01E-09,7.11E-10,4.75E-10
14.5,1.04E-09,7.16E-10,4.78E-10
14.6,1.08E-09,7.33E-10,4.84E-10
14.7,1.13E-09,7.41E-10,4.90E-10
14.8,1.19E-09,7.55E-10,5.00E-10
14.9,1.25E-09,7.76E-10,5.00E-10
15,1.32E-09,8.02E-10,5.12E-10
15.1,1.40E-09,8.30E-10,5.27E-10
15.201,1.49E-09,8.59E-10,5.32E-10
15.3,1.58E-09,9.01E-10,5.45E-10
15.4,1.69E-09,9.35E-10,5.50E-10
15.5,1.80E-09,9.80E-10,5.57E-10
15.6,1.92E-09,1.02E-09,5.77E-10
15.7,2.05E-09,1.07E-09,5.88E-10
15.8,2.18E-09,1.11E-09,6.04E-10
15.9,2.34E-09,1.17E-09,6.21E-10
16,2.49E-09,1.22E-09,6.42E-10
16.1,2.64E-09,1.28E-09,6.62E-10
16.2,2.79E-09,1.34E-09,6.81E-10
16.3,2.93E-09,1.39E-09,7.05E-10
16.4,3.04E-09,1.45E-09,7.23E-10
16.5,3.16E-09,1.51E-09,7.44E-10
16.6,3.24E-09,1.55E-09,7.67E-10
16.7,3.30E-09,1.59E-09,7.89E-10
16.8,3.32E-09,1.63E-09,8.11E-10
16.901,3.35E-09,1.66E-09,8.31E-10
17,3.35E-09,1.69E-09,8.52E-10
17.1,3.31E-09,1.70E-09,8.74E-10
17.2,3.26E-09,1.71E-09,8.82E-10
17.3,3.21E-09,1.72E-09,9.12E-10
17.4,3.12E-09,1.71E-09,9.29E-10
17.5,3.02E-09,1.71E-09,9.46E-10
17.6,2.92E-09,1.69E-09,9.62E-10
17.7,2.82E-09,1.66E-09,9.77E-10
17.8,2.70E-09,1.64E-09,9.89E-10
17.9,2.58E-09,1.61E-09,1.00E-09
18,2.48E-09,1.58E-09,1.01E-09
18.1,2.37E-09,1.55E-09,1.01E-09
18.2,2.28E-09,1.52E-09,1.02E-09
18.3,2.19E-09,1.48E-09,1.02E-09
18.4,2.11E-09,1.46E-09,1.02E-09
18.5,2.05E-09,1.43E-09,1.02E-09
18.601,2.00E-09,1.41E-09,1.02E-09
18.7,1.97E-09,1.39E-09,1.02E-09
18.8,1.96E-09,1.37E-09,1.01E-09
18.9,1.96E-09,1.37E-09,1.01E-09
19,1.98E-09,1.37E-09,1.01E-09
19.1,2.02E-09,1.37E-09,1.00E-09
19.2,2.06E-09,1.39E-09,1.01E-09
19.3,2.12E-09,1.41E-09,1.00E-09
19.4,2.21E-09,1.44E-09,1.00E-09
19.5,2.31E-09,1.47E-09,1.02E-09
19.6,2.44E-09,1.52E-09,1.02E-09
19.7,2.57E-09,1.57E-09,1.03E-09
19.8,2.73E-09,1.64E-09,1.04E-09
19.9,2.91E-09,1.71E-09,1.05E-09
20,3.10E-09,1.78E-09,1.07E-09
20.1,3.31E-09,1.87E-09,1.09E-09
20.2,3.54E-09,1.97E-09,1.12E-09
20.3,3.79E-09,2.07E-09,1.14E-09
20.4,4.06E-09,2.21E-09,1.18E-09
20.5,4.32E-09,2.33E-09,1.21E-09
20.6,4.60E-09,2.44E-09,1.24E-09
20.7,4.90E-09,2.57E-09,1.29E-09
20.8,5.21E-09,2.72E-09,1.34E-09
20.9,5.52E-09,2.87E-09,1.37E-09
21,5.83E-09,3.02E-09,1.44E-09
21.1,6.10E-09,3.15E-09,1.49E-09
21.2,6.32E-09,3.29E-09,1.55E-09
21.3,6.58E-09,3.41E-09,1.60E-09
21.4,6.73E-09,3.52E-09,1.65E-09
21.5,6.85E-09,3.58E-09,1.71E-09
21.6,6.88E-09,3.64E-09,1.77E-09
21.7,6.88E-09,3.66E-09,1.81E-09
21.8,6.85E-09,3.67E-09,1.85E-09
21.9,6.77E-09,3.68E-09,1.89E-09
22,6.65E-09,3.66E-09,1.91E-09
22.1,6.49E-09,3.62E-09,1.94E-09
22.2,6.30E-09,3.59E-09,1.96E-09
22.3,6.08E-09,3.51E-09,1.98E-09
22.4,5.84E-09,3.42E-09,1.97E-09
22.5,5.60E-09,3.33E-09,1.98E-09
22.6,5.34E-09,3.24E-09,1.96E-09
22.7,5.09E-09,3.14E-09,1.97E-09
22.8,4.85E-09,3.02E-09,1.95E-09
22.9,4.61E-09,2.91E-09,1.92E-09
23,4.39E-09,2.81E-09,1.90E-09
23.1,4.19E-09,2.70E-09,1.88E-09
23.2,4.01E-09,2.60E-09,1.85E-09
23.301,3.86E-09,2.52E-09,1.82E-09
23.4,3.73E-09,2.44E-09,1.80E-09
23.5,3.63E-09,2.38E-09,1.78E-09
23.6,3.56E-09,2.33E-09,1.75E-09
23.7,3.53E-09,2.30E-09,1.70E-09
23.8,3.52E-09,2.28E-09,1.68E-09
23.9,3.57E-09,2.29E-09,1.67E-09
24,3.62E-09,2.30E-09,1.65E-09
24.1,3.73E-09,2.34E-09,1.64E-09
24.2,3.85E-09,2.38E-09,1.63E-09
24.3,4.03E-09,2.44E-09,1.63E-09
24.4,4.21E-09,2.52E-09,1.63E-09
24.5,4.43E-09,2.62E-09,1.63E-09
24.6,4.70E-09,2.73E-09,1.65E-09
24.7,4.99E-09,2.85E-09,1.67E-09
24.8,5.30E-09,3.00E-09,1.70E-09
24.9,5.63E-09,3.16E-09,1.73E-09
25.001,5.98E-09,3.34E-09,1.77E-09
25.1,6.36E-09,3.53E-09,1.82E-09
25.2,6.76E-09,3.73E-09,1.88E-09
25.3,7.17E-09,3.94E-09,1.94E-09
25.4,7.59E-09,4.18E-09,2.01E-09
25.5,8.05E-09,4.42E-09,2.09E-09
25.6,8.55E-09,4.66E-09,2.17E-09
25.7,9.03E-09,4.91E-09,2.27E-09
25.8,9.51E-09,5.14E-09,2.36E-09
25.9,9.98E-09,5.38E-09,2.46E-09
26,1.04E-08,5.60E-09,2.55E-09
26.1,1.08E-08,5.80E-09,2.64E-09
26.2,1.11E-08,5.99E-09,2.74E-09
26.3,1.14E-08,6.13E-09,2.84E-09
26.4,1.16E-08,6.24E-09,2.93E-09
26.5,1.18E-08,6.32E-09,3.02E-09
26.6,1.18E-08,6.37E-09,3.10E-09
26.701,1.18E-08,6.39E-09,3.17E-09
26.8,1.18E-08,6.37E-09,3.22E-09
26.9,1.16E-08,6.28E-09,3.27E-09
27,1.14E-08,6.18E-09,3.29E-09
27.1,1.12E-08,6.06E-09,3.31E-09
27.2,1.08E-08,5.90E-09,3.31E-09
27.3,1.05E-08,5.74E-09,3.31E-09
27.4,1.01E-08,5.56E-09,3.29E-09
27.5,9.71E-09,5.34E-09,3.25E-09
27.6,9.29E-09,5.11E-09,3.20E-09
27.7,8.88E-09,4.90E-09,3.15E-09
27.8,8.45E-09,4.68E-09,3.09E-09
27.9,8.04E-09,4.47E-09,3.03E-09
28,7.66E-09,4.28E-09,2.97E-09
28.1,7.32E-09,4.12E-09,2.89E-09
